Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Cleveland, OH, United States",03/13/2021,38,38,38,32.2,,0,0,0,0,6.9,230,10.3,15,10,47.3,Clear
"Cleveland, OH, United States",03/14/2021,40,27,35.6,16.8,,0,0,0,0,10.1,267.5,23,15,17.8,58,Clear
"Cleveland, OH, United States",03/15/2021,40.9,22,32.2,11.9,,36.7,0,0,0,10.2,70.1,16.1,3.3,53,49.5,Partially cloudy
"Cleveland, OH, United States",03/16/2021,52.1,35,43.4,27.8,,44,0.12,0,0,6.4,122.5,11.4,0.7,77.7,67.7,Overcast
"Cleveland, OH, United States",03/17/2021,54.1,40,46.2,36.7,,35,0,0,0,4.8,103.7,8.7,3.9,69.9,79.5,Partially cloudy
"Cleveland, OH, United States",03/18/2021,47.9,38,43,28.5,,55,0.5,0,0,12.6,44.4,24.2,0,74.1,78.6,"Rain, Partially cloudy"
"Cleveland, OH, United States",03/19/2021,40,31,35.8,19.2,,55,0,0,0,15,90.9,24.2,14.6,52.2,64.2,"Rain, Partially cloudy"
"Cleveland, OH, United States",03/20/2021,40.4,29.9,35.1,22,,0,0,0,0,7.7,57.3,14.5,15,0,57.2,Clear
"Cleveland, OH, United States",03/21/2021,45.9,34.2,40.6,29.4,,0,0,0,0,5.6,46.1,13.8,15,24,61.2,Clear
"Cleveland, OH, United States",03/22/2021,53,42,46.8,35,,28.6,0.02,0,0,11,19.7,20.8,15,99.9,58.5,Overcast
"Cleveland, OH, United States",03/23/2021,58.2,46.8,52.2,42.6,,38,0,0,0,11.4,16.5,30.4,15,73,65.6,Partially cloudy
"Cleveland, OH, United States",03/24/2021,59.8,49.3,54.5,43.4,,38,0.26,0,0,20.9,18.4,43.2,6.2,80.9,73.3,Overcast
"Cleveland, OH, United States",03/25/2021,48.4,39.4,44.2,33.1,,57,0,0,0,11.8,64.8,32,15,61.2,64.7,"Rain, Partially cloudy"
"Cleveland, OH, United States",03/26/2021,38.5,34.1,36.1,26.6,,57,0,0,0,9.8,80.6,20.3,15,26.5,75.8,"Rain, Partially cloudy"
"Cleveland, OH, United States",03/27/2021,40.7,29.8,35.9,17,,19,0,0,0,18.3,60.8,32.4,12.9,20.3,70,Clear
"Cleveland, OH, United States",03/28/2021,31.9,26.9,29.2,14,,14.3,0.01,0,0,12.9,13.6,25.4,8.9,50.1,61.6,Partially cloudy
